order_id,order_date,customer_id,channel,category,item_price,quantity,discount_pct,order_value,payment_method,delivery_days,customer_region,customer_tenure_days,customer_prior_orders,marketing_opt_in,export_seq,returned
ORD-100037,2025-05-01,10481,web,beauty,32.31,1,0,32.31,card,2,Midlands,2170,1,False,1487,0
ORD-100038,2025-10-02,10572,web,apparel,49.37,1,0,49.37,paypal,2,Scotland,2345,2,False,648,0
ORD-100039,2025-07-03,10995,web,beauty,42.88,1,0,42.88,card,6,South,2345,1,True,1118,0
ORD-100040,2025-07-21,10558,web,home,70.29,2,5,133.55,voucher,1,Scotland,643,0,True,1229,0
ORD-100041,2025-09-28,10654,web,electronics,163.57,1,0,163.57,voucher,2,North,1081,1,False,140,0
ORD-100042,2025-03-06,10899,web,electronics,222.76,3,30,467.8,bnpl,6,South,478,1,True,673,0
ORD-100043,2025-10-27,10520,web,apparel,48.85,1,10,43.96,card,3,South,961,3,True,1710,0
ORD-100044,2025-04-17,10075,web,electronics,163.56,1,0,163.56,card,7,North,1410,0,True,1401,0
ORD-100045,2025-03-15,10557,web,home,74.51,1,0,74.51,card,1,Wales,2175,0,False,956,0
ORD-100046,2025-08-30,10172,web,footwear,94.68,1,25,71.01,card,2,London,1010,0,False,194,0
ORD-100047,2025-04-19,10874,web,electronics,167.52,1,5,159.14,card,2,North,2200,0,True,432,1
ORD-100048,2025-10-07,10815,web,apparel,60.79,1,0,60.79,paypal,3,South,1104,2,True,159,1
ORD-100049,2025-07-14,10692,phone,apparel,36.17,1,10,32.55,card,2,South,1119,0,True,1441,0
ORD-100050,2025-11-22,10857,web,beauty,25.89,1,0,25.89,card,3,South,282,0,False,626,0
ORD-100051,2025-05-02,10148,web,sports,79.34,1,20,63.47,card,1,South,633,0,True,1058,0
ORD-100052,2025-09-19,10897,web,sports,56.71,1,5,53.87,card,1,London,1080,0,True,1636,0
ORD-100053,2025-04-14,10598,web,footwear,100.14,3,15,255.36,paypal,5,London,2140,0,True,1321,0
ORD-100054,2025-10-27,10378,web,apparel,51.72,2,0,103.44,card,2,London,2176,2,False,1577,0
ORD-100055,2025-10-10,10962,web,sports,62.94,1,15,53.5,paypal,3,NI,2137,1,True,167,1
ORD-100056,2025-12-01,10645,web,beauty,32.85,2,5,62.42,card,6,Midlands,150,1,False,735,0
ORD-100057,2025-04-14,10113,web,footwear,67.37,1,5,64.0,card,8,London,300,1,False,1888,0
ORD-100057,2025-04-14,10113,web,footwear,67.37,1,5,64.0,card,8,NI,241,1,False,2018,0
ORD-100058,2025-05-10,11022,web,apparel,49.16,1,0,49.16,bnpl,5,South,1933,1,False,390,1
ORD-100059,2025-06-12,10043,web,footwear,100.77,1,0,100.77,card,4,South,303,2,False,353,1
ORD-100060,2025-12-25,10074,web,footwear,58.69,2,0,117.38,paypal,4,South,1026,1,True,14,1
ORD-100061,2025-10-14,10324,web,beauty,17.47,1,25,13.1,card,2,London,1524,4,False,657,0
ORD-100062,2025-04-23,10066,web,electronics,121.83,1,0,121.83,voucher,3,Midlands,709,3,False,430,1
ORD-100063,2025-11-08,11002,web,home,33.44,1,25,25.08,card,3,London,2241,2,True,113,0
ORD-100064,2025-06-10,10932,web,footwear,69.93,3,10,188.81,paypal,1,Scotland,153,2,True,361,1
ORD-100065,2025-09-25,10470,web,sports,128.98,1,0,128.98,card,1,South,1573,0,True,696,0
ORD-100066,2025-01-07,11055,web,sports,54.88,1,0,54.88,paypal,5,South,2154,1,False,589,0
ORD-100067,2025-06-23,10198,web,apparel,62.42,2,0,124.84,card,2,Midlands,191,2,False,1536,0
ORD-100068,2025-12-03,10995,web,home,28.0,1,20,22.4,card,2,South,2345,4,True,1662,0
ORD-100069,2025-12-07,11056,web,home,56.37,2,20,90.19,voucher,3,South,1346,3,True,49,1
ORD-100070,2025-01-28,10086,web,electronics,243.72,1,0,243.72,bnpl,8,South,979,0,False,1287,0
ORD-100071,2025-09-09,10905,web,electronics,187.13,2,30,261.98,paypal,2,Scotland,1055,1,True,1649,0
ORD-100072,2025-02-26,10796,web,sports,95.84,1,15,81.46,card,4,Midlands,728,0,True,1302,0
ORD-100073,2025-12-31,10628,web,electronics,146.19,1,5,138.88,bnpl,2,North,1123,1,False,19,0
ORD-100074,2025-03-23,10194,web,apparel,33.05,1,5,31.4,paypal,1,North,560,0,False,982,0
ORD-100075,2025-10-04,10639,web,apparel,58.62,1,0,58.62,card,2,London,590,3,False,1402,0
ORD-100076,2025-11-16,10952,web,apparel,37.0,1,0,37.0,card,3,South,2039,3,False,1500,0
ORD-100077,2025-03-29,10885,web,sports,81.41,1,15,69.2,bnpl,4,North,1705,1,True,453,0
ORD-100078,2025-07-19,10889,web,sports,67.62,2,0,135.24,card,8,London,2300,1,True,990,0
ORD-100079,2025-10-27,10412,web,beauty,16.38,1,5,15.56,card,1,London,277,0,False,661,0
ORD-100080,2025-10-25,10215,web,apparel,55.9,2,0,111.8,paypal,1,Wales,1317,4,True,97,0
ORD-100081,2025-12-10,11049,web,beauty,16.15,2,0,32.3,card,1,Wales,927,1,False,1125,0
ORD-100082,2025-03-25,10838,web,sports,166.42,1,30,116.49,paypal,4,Wales,639,0,True,1689,0
ORD-100083,2025-02-12,10196,web,electronics,167.84,1,0,167.84,card,3,North,393,0,True,1623,0
ORD-100084,2025-01-16,10951,web,apparel,46.44,1,20,37.15,voucher,2,London,1460,0,True,550,0
ORD-100085,2025-07-18,10745,web,apparel,62.29,2,10,112.12,card,4,London,1111,1,False,773,0
ORD-100086,2025-12-23,10267,web,home,89.47,1,0,89.47,card,2,London,1008,3,False,888,0
ORD-100087,2025-07-26,10510,web,footwear,46.04,1,0,46.04,card,6,North,1587,0,True,1085,0
ORD-100088,2025-04-25,10363,web,home,76.07,1,0,76.07,card,2,London,1727,1,False,891,0
ORD-100089,2025-05-24,10179,web,beauty,18.02,2,0,36.04,bnpl,6,Midlands,836,1,False,776,0
ORD-100090,2025-06-25,10319,web,home,64.31,1,5,61.09,card,6,Midlands,1278,0,True,1017,0
ORD-100091,2025-05-04,10810,web,apparel,39.61,2,5,75.26,card,1,North,2378,0,True,1952,0
ORD-100092,2025-10-02,10883,web,electronics,311.67,1,0,311.67,card,7,Midlands,1393,1,False,1389,0
ORD-100093,2025-05-04,10852,web,apparel,46.48,1,0,46.48,paypal,2,Scotland,324,1,False,421,0
ORD-100094,2025-04-16,10346,web,apparel,42.49,2,10,76.48,card,3,London,76,1,True,1996,0
ORD-100095,2025-04-21,10716,web,apparel,69.78,1,25,52.34,card,4,North,1268,0,True,438,1
ORD-100096,2025-03-08,10457,web,apparel,52.16,3,10,140.83,bnpl,4,North,473,0,True,503,0
ORD-100097,2025-01-15,10530,web,sports,66.06,1,0,66.06,bnpl,4,South,1076,0,True,1081,0
ORD-100098,2025-07-12,10481,web,home,33.88,2,40,40.66,card,5,Midlands,2170,2,False,890,0
ORD-100099,2025-03-21,10732,web,apparel,47.67,1,0,47.67,bnpl,4,North,611,0,False,843,0
ORD-100100,2025-06-04,10387,web,apparel,28.31,2,0,56.62,bnpl,4,North,1217,0,True,1669,0
ORD-100101,2025-09-16,10683,web,home,150.52,1,0,150.52,card,1,South,603,0,False,1293,0
ORD-100102,2025-07-02,10672,web,apparel,63.61,1,0,63.61,card,3,South,1509,1,True,1226,0
ORD-100103,2025-05-14,10805,web,apparel,24.83,1,15,21.11,paypal,1,London,2318,1,True,1119,0
ORD-100104,2025-11-08,10279,web,beauty,18.89,3,10,51.0,card,3,North,1451,1,False,640,0
ORD-100105,2025-11-08,10010,web,electronics,186.66,1,5,177.33,paypal,3,South,1116,3,False,1306,0
ORD-100106,2025-11-06,10781,web,apparel,34.53,2,0,69.06,card,2,North,2254,1,False,1898,0
ORD-100107,2025-04-13,10225,web,footwear,67.22,1,15,57.14,card,4,London,1286,0,True,429,0
ORD-100108,2025-08-11,10595,web,electronics,109.9,3,0,329.7,card,5,Midlands,1632,1,True,2022,0
ORD-100109,2025-12-15,10300,web,home,82.16,1,0,82.16,card,1,Midlands,216,1,False,1547,0
ORD-100110,2025-04-01,10907,web,home,31.7,1,20,25.36,card,2,Midlands,1995,0,True,2028,0
ORD-100111,2025-11-10,10164,web,apparel,29.56,1,10,26.6,card,6,North,170,2,False,103,1
ORD-100112,2025-06-24,10100,web,footwear,73.38,2,5,139.42,card,4,South,2223,1,True,940,0
ORD-100113,2025-07-15,10057,web,home,105.83,1,15,89.96,card,4,South,1822,0,True,1659,0
ORD-100114,2025-01-16,10207,web,electronics,299.08,1,0,299.08,bnpl,3,London,2268,0,True,1426,0
ORD-100115,2025-07-20,10641,web,home,83.91,3,0,251.73,paypal,2,London,113,1,True,651,0
ORD-100116,2025-02-17,10912,web,home,130.78,1,0,130.78,card,3,Midlands,902,0,False,1584,0
ORD-100117,2025-11-16,10538,web,apparel,39.3,2,0,78.6,paypal,1,Midlands,995,1,True,82,1
ORD-100118,2025-11-04,10091,web,apparel,64.91,1,5,61.66,card,3,London,1136,3,True,68,0
ORD-100119,2025-07-24,10053,web,sports,121.49,1,5,115.42,card,5,London,1111,0,False,266,0
ORD-100120,2025-03-18,10671,web,footwear,60.15,2,25,90.22,card,3,Midlands,1169,0,True,758,0
ORD-100121,2025-04-12,10917,web,home,137.64,2,0,275.28,paypal,3,North,1591,0,False,1364,0
ORD-100122,2025-07-13,10227,web,beauty,40.6,2,5,77.14,card,3,Midlands,1841,2,True,824,0
ORD-100123,2025-12-23,10898,web,beauty,24.57,2,0,49.14,card,3,North,1130,1,True,1394,0
ORD-100124,2025-11-15,10518,web,electronics,236.81,1,0,236.81,card,5,Scotland,1699,1,True,1314,0
ORD-100125,2025-12-09,10742,web,beauty,17.21,1,5,16.35,paypal,1,Scotland,1454,1,False,1571,0
ORD-100126,2025-06-01,10959,web,electronics,256.16,1,0,256.16,card,8,Midlands,1362,2,True,1585,0
ORD-100127,2025-11-11,10837,web,electronics,156.71,2,15,266.41,paypal,3,Wales,2146,3,True,1165,0
ORD-100128,2025-12-07,10725,web,apparel,28.46,2,0,56.92,card,3,Midlands,297,2,True,1285,0
ORD-100129,2025-12-29,10037,web,apparel,41.31,1,5,39.24,card,1,Wales,885,1,True,3,0
ORD-100130,2025-10-21,11022,web,home,73.41,1,0,73.41,card,2,South,1933,2,False,145,1
ORD-100131,2025-11-29,10338,web,footwear,49.67,2,40,59.6,card,5,North,487,1,True,1327,0
ORD-100132,2025-06-20,10790,web,beauty,10.68,3,10,28.84,card,2,South,2125,0,True,1787,0
ORD-100133,2025-09-28,10655,web,apparel,67.06,2,10,120.71,card,4,NI,2081,2,False,845,0
ORD-100134,2025-01-14,10434,web,apparel,67.58,1,25,50.68,card,6,London,246,0,False,996,0
ORD-100135,2025-05-07,10284,web,footwear,69.3,1,0,69.3,card,3,South,2153,0,True,1926,0
ORD-100136,2025-01-15,10235,web,footwear,85.15,2,0,170.3,bnpl,6,London,1427,0,True,906,0
ORD-100137,2025-08-01,10520,web,apparel,22.02,1,0,22.02,card,2,South,961,2,True,262,0
ORD-100138,2025-10-10,10416,web,apparel,79.81,1,25,59.86,bnpl,3,NI,905,2,False,156,1
ORD-100139,2025-11-02,10028,web,apparel,35.23,2,0,70.46,paypal,1,London,185,2,False,1109,0
ORD-100140,2025-03-13,10215,web,electronics,253.0,1,0,253.0,card,6,Wales,1317,1,True,684,0
ORD-100141,2025-01-25,10742,web,beauty,33.52,2,0,67.04,paypal,3,Scotland,1454,0,False,1844,0
ORD-100142,2025-12-28,10396,web,beauty,14.35,1,0,14.35,bnpl,1,Midlands,1427,1,True,807,0
ORD-100143,2025-01-29,10514,web,home,32.57,2,10,58.63,card,3,South,1498,1,True,563,1
ORD-100144,2025-05-08,10831,web,electronics,147.07,2,20,235.31,paypal,1,North,1116,1,True,1769,0
ORD-100145,2025-06-01,10748,web,apparel,22.27,1,5,21.16,card,4,North,2035,2,False,359,1
ORD-100146,2025-07-18,10145,web,apparel,37.43,1,10,33.69,paypal,3,London,1489,0,False,277,0
ORD-100147,2025-08-13,10180,web,apparel,67.18,2,0,134.36,card,3,North,319,1,False,236,1
ORD-100148,2025-05-04,10844,web,footwear,45.76,1,0,45.76,paypal,2,South,1156,2,True,1728,0
ORD-100149,2025-08-13,10044,web,sports,60.62,1,0,60.62,card,5,South,170,2,True,780,0
ORD-100150,2025-10-08,10696,web,apparel,59.23,2,15,100.69,card,5,North,1883,1,True,911,0
ORD-100151,2025-08-08,10212,web,apparel,41.08,1,0,41.08,card,6,North,2121,0,False,1368,0
ORD-100152,2025-10-04,10069,phone,electronics,129.14,2,0,258.28,card,2,Midlands,1547,2,True,1954,0
ORD-100153,2025-12-19,10543,web,apparel,64.88,1,10,58.39,card,2,South,227,2,True,6,0
ORD-100154,2025-09-03,10651,web,home,68.27,1,0,68.27,paypal,1,North,163,1,False,627,0
ORD-100155,2025-04-11,10490,web,home,94.1,2,5,178.79,card,3,South,1428,1,True,467,1
ORD-100156,2025-12-12,10233,web,apparel,52.87,2,0,105.74,paypal,1,London,1109,2,True,1366,0
ORD-100157,2025-04-19,10927,web,apparel,49.16,1,0,49.16,card,3,London,736,1,False,1038,0
ORD-100158,2025-05-21,10267,web,home,42.25,2,15,71.82,bnpl,6,London,1008,0,False,391,1
ORD-100159,2025-07-09,10522,web,electronics,147.76,1,0,147.76,card,1,North,548,1,True,307,0
ORD-100160,2025-05-01,10370,web,electronics,306.62,1,10,275.96,card,3,Midlands,1251,0,True,1695,0
ORD-100161,2025-11-11,10167,web,apparel,43.51,1,0,43.51,paypal,3,Wales,493,0,True,114,1
ORD-100162,2025-06-29,10512,web,footwear,43.96,2,0,87.92,paypal,2,South,274,0,False,727,0
ORD-100163,2025-05-23,10653,web,home,88.88,1,0,88.88,card,2,South,1092,0,False,1493,0
ORD-100164,2025-08-07,10160,web,sports,35.25,1,0,35.25,card,4,London,2396,0,False,613,0
ORD-100165,2025-04-27,10639,web,beauty,31.12,1,0,31.12,card,4,London,590,2,False,1881,0
ORD-100166,2025-11-08,10561,web,home,16.37,1,0,16.37,card,3,Midlands,1267,3,True,77,0
ORD-100167,2025-03-07,11011,web,home,84.04,2,0,168.08,card,2,Midlands,619,0,True,499,0
ORD-100168,2025-05-28,10640,web,footwear,35.85,1,10,32.26,bnpl,4,Midlands,632,1,True,372,1
ORD-100169,2025-06-05,10065,web,electronics,249.04,2,0,498.08,card,5,London,1601,0,True,1279,0
ORD-100170,2025-01-07,10667,web,footwear,107.47,1,0,107.47,card,1,North,1500,0,False,809,0
ORD-100171,2025-08-01,10626,phone,sports,88.26,3,10,238.3,card,6,North,666,1,False,755,0
ORD-100172,2025-02-13,10541,web,home,74.53,2,20,119.25,bnpl,4,London,1058,0,False,799,0
ORD-100173,2025-05-11,10209,web,electronics,246.29,1,0,246.29,card,1,Wales,949,0,False,1090,0
ORD-100174,2025-06-20,10500,web,footwear,53.59,1,0,53.59,bnpl,7,London,925,0,True,294,0
ORD-100175,2025-05-10,10407,web,apparel,36.82,3,0,110.46,card,2,NI,1688,1,False,401,1
ORD-100176,2025-08-04,10459,web,electronics,228.73,2,20,365.97,card,4,London,435,0,True,251,1
ORD-100177,2025-04-13,10852,web,electronics,180.01,1,40,108.01,card,2,Scotland,324,0,False,448,0
ORD-100178,2025-06-21,10868,web,sports,89.54,1,10,80.59,card,4,Midlands,481,1,False,1471,0
ORD-100179,2025-07-23,10993,web,footwear,35.29,1,0,35.29,card,1,Midlands,593,0,False,254,0
ORD-100179,2025-07-23,10993,web,footwear,35.29,1,0,35.29,card,1,London,564,0,False,860,0
ORD-100180,2025-09-18,10172,web,beauty,27.32,2,25,40.98,paypal,6,London,1010,1,False,1943,0
ORD-100181,2025-11-12,10441,web,apparel,34.19,1,15,29.06,card,2,Midlands,72,2,False,78,1
ORD-100182,2025-12-11,10682,web,electronics,353.98,2,10,637.16,card,-999,North,229,1,False,52,1
ORD-100183,2025-12-09,10434,web,footwear,52.54,1,10,47.29,card,1,London,246,4,False,37,0
ORD-100184,2025-08-20,11054,web,footwear,45.38,2,5,86.22,paypal,1,London,150,0,True,1716,0
ORD-100185,2025-10-13,10751,web,electronics,183.8,1,30,128.66,card,3,Midlands,2250,0,False,125,0
ORD-100186,2025-07-26,10779,web,footwear,49.29,1,0,49.29,bnpl,3,Midlands,1537,1,False,267,0
ORD-100187,2025-02-10,10312,web,home,54.55,1,0,54.55,card,7,London,470,1,True,1041,0
ORD-100188,2025-03-16,10173,web,sports,83.06,1,0,83.06,paypal,2,London,1643,0,True,1655,0
ORD-100189,2025-07-20,10533,web,apparel,73.08,1,0,73.08,bnpl,2,Midlands,1875,0,True,1105,0
ORD-100190,2025-01-16,10537,web,electronics,331.27,3,0,993.81,paypal,4,London,1920,0,True,649,0
ORD-100191,2025-05-15,10496,web,footwear,53.45,2,20,85.52,card,3,North,435,2,True,1328,0
ORD-100192,2025-03-28,10006,web,electronics,380.89,2,0,761.78,card,1,North,1687,0,False,1897,0
ORD-100193,2025-06-02,10986,web,footwear,41.48,1,10,37.33,card,7,North,1595,0,True,371,1
ORD-100194,2025-05-09,10292,web,apparel,38.19,1,10,34.37,card,8,Midlands,1470,1,False,1049,0
ORD-100195,2025-10-31,10980,web,beauty,24.69,2,0,49.38,paypal,6,London,386,1,False,1273,0
ORD-100196,2025-11-17,10152,web,electronics,138.92,1,0,138.92,card,6,London,753,0,True,1551,0
ORD-100197,2025-04-15,10992,web,apparel,57.33,1,5,54.46,bnpl,6,South,1009,0,False,415,0
ORD-100198,2025-04-20,10561,web,beauty,23.02,1,15,19.57,card,1,Midlands,1267,0,True,1329,0
ORD-100199,2025-01-24,10885,web,apparel,28.46,2,20,45.54,card,7,North,1705,0,True,560,1
ORD-100200,2025-05-21,10791,web,apparel,60.6,2,20,96.96,card,4,NI,549,5,True,374,1
ORD-100201,2025-06-21,10560,web,footwear,69.48,1,0,69.48,paypal,6,North,2071,0,False,1890,0
ORD-100202,2025-06-19,10434,web,apparel,66.6,2,15,113.22,paypal,4,London,246,2,False,322,1
ORD-100203,2025-07-10,10577,web,home,70.2,1,0,70.2,paypal,4,Scotland,1379,0,False,318,1
ORD-100204,2025-11-04,10364,web,sports,105.36,1,20,84.29,card,2,South,131,0,True,842,0
ORD-100205,2025-05-02,10454,web,apparel,37.2,2,0,74.4,card,1,North,1918,1,True,411,1
ORD-100206,2025-10-11,10404,web,electronics,135.11,1,25,101.33,bnpl,1,Scotland,1808,1,False,144,1
ORD-100207,2025-05-06,10311,web,home,83.99,1,0,83.99,card,3,North,1022,1,True,1693,0
ORD-100208,2025-04-21,10419,web,apparel,20.86,2,5,39.63,card,4,North,2112,0,False,443,1
ORD-100209,2025-02-07,10290,web,footwear,111.29,1,0,111.29,card,2,Midlands,1927,0,True,569,0
ORD-100210,2025-03-13,10083,web,footwear,77.9,1,0,77.9,card,7,London,131,0,True,1794,0
ORD-100211,2025-12-19,10642,phone,sports,94.08,2,0,188.16,bnpl,5,Wales,149,2,False,1989,0
ORD-100212,2025-07-29,10642,web,electronics,213.36,1,0,213.36,card,6,Wales,149,0,False,253,0
ORD-100213,2025-06-10,10793,web,apparel,43.73,1,0,43.73,card,3,London,694,2,True,1821,0
ORD-100214,2025-05-03,10785,web,beauty,40.57,2,0,81.14,card,11,South,2072,1,False,663,0
ORD-100215,2025-05-24,10902,web,apparel,20.92,1,0,20.92,bnpl,4,South,205,0,False,1430,0
ORD-100216,2025-01-19,10096,web,apparel,24.23,1,0,24.23,card,3,North,2388,0,False,1070,0
ORD-100217,2025-04-29,10107,web,apparel,30.98,2,0,61.96,card,3,Midlands,2333,0,False,404,1
ORD-100218,2025-05-22,10001,web,apparel,55.17,1,0,55.17,paypal,4,North,2156,0,True,366,0
ORD-100219,2025-03-10,10224,web,electronics,279.08,1,0,279.08,card,3,Scotland,2354,0,True,1427,0
ORD-100220,2025-07-28,10142,web,beauty,12.01,1,0,12.01,bnpl,2,NI,46,0,False,1171,0
ORD-100221,2025-03-20,10391,web,home,104.55,1,0,104.55,card,1,Scotland,1635,0,False,452,0
ORD-100222,2025-05-08,10358,web,electronics,325.53,1,25,244.15,paypal,1,Scotland,279,0,True,1450,0
ORD-100223,2025-06-03,10339,web,apparel,42.05,1,0,42.05,paypal,6,London,2073,1,True,1120,0
ORD-100224,2025-02-27,10735,web,footwear,85.75,1,20,68.6,bnpl,2,Midlands,1973,1,False,1468,0
ORD-100225,2025-07-22,10146,web,apparel,71.15,1,0,71.15,paypal,3,South,563,2,True,1877,0
ORD-100226,2025-05-17,10228,web,footwear,91.42,1,0,91.42,card,2,London,1260,0,False,805,0
ORD-100227,2025-08-15,10091,web,footwear,51.43,1,0,51.43,card,5,London,1136,2,True,1019,0
ORD-100228,2025-03-13,10649,web,home,81.52,1,10,73.37,card,10,Midlands,930,0,True,1212,0
ORD-100229,2025-04-12,10397,web,apparel,60.91,1,0,60.91,card,7,North,122,1,True,1490,0
ORD-100230,2025-09-11,10691,web,apparel,68.9,1,10,62.01,card,5,London,435,0,False,1412,0
ORD-100231,2025-10-27,10733,web,apparel,30.7,2,10,55.26,bnpl,1,Scotland,1317,1,True,907,0
ORD-100232,2025-08-09,10145,web,beauty,6.73,2,0,13.46,card,3,London,1489,1,False,2013,0
ORD-100233,2025-06-30,10120,web,electronics,173.85,1,15,147.77,card,3,Wales,1122,0,False,1645,0
ORD-100234,2025-07-12,10030,web,apparel,43.71,1,20,-34.97,card,5,Scotland,417,0,False,289,1
ORD-100235,2025-08-30,10596,web,sports,125.32,3,0,375.96,card,2,Midlands,266,0,False,189,0
ORD-100236,2025-01-26,10637,phone,home,44.06,2,0,88.12,bnpl,4,London,174,0,True,553,1
ORD-100237,2025-07-01,10109,web,apparel,23.41,1,0,23.41,bnpl,1,NI,2224,2,True,1362,0
ORD-100238,2025-12-01,10594,web,footwear,111.84,1,25,83.88,paypal,5,London,1816,2,True,44,1
ORD-100239,2025-06-04,10872,web,home,52.62,1,5,49.99,card,6,London,591,1,True,1025,0
ORD-100240,2025-11-16,10776,web,home,62.49,2,0,124.98,card,4,North,113,1,True,622,0
ORD-100241,2025-03-17,10484,web,home,52.13,2,0,104.26,card,1,Midlands,905,0,False,1935,0
ORD-100242,2025-11-27,10826,web,apparel,37.06,1,0,37.06,card,5,NI,1010,3,True,74,1
ORD-100243,2025-01-18,10684,web,footwear,60.12,1,0,60.12,bnpl,3,North,1102,0,True,1915,0
ORD-100244,2025-12-22,10794,web,apparel,39.41,2,0,78.82,card,3,London,978,3,False,1578,0
ORD-100245,2025-12-21,10792,web,electronics,182.25,1,40,109.35,card,2,London,180,2,True,929,0
ORD-100246,2025-04-16,10821,web,footwear,72.62,1,5,68.99,card,5,London,750,0,False,815,0
ORD-100247,2025-06-25,10327,web,apparel,28.15,1,0,28.15,card,1,North,1066,0,True,1855,0
ORD-100248,2025-05-14,10759,web,electronics,131.77,2,25,197.66,card,1,NI,704,0,False,362,0
ORD-100249,2025-03-18,10354,phone,home,63.58,1,15,54.04,card,3,NI,842,0,True,1837,0
ORD-100250,2025-09-14,10146,web,beauty,14.63,1,0,14.63,voucher,-999,South,563,3,True,202,1
ORD-100251,2025-02-11,10091,web,electronics,167.45,1,0,167.45,paypal,2,London,1136,0,True,1637,0
ORD-100252,2025-01-30,10536,web,home,37.07,1,0,37.07,card,5,South,579,0,True,2006,0
ORD-100253,2025-04-25,10434,web,beauty,18.0,1,0,18.0,card,3,London,246,1,False,420,1
ORD-100254,2025-07-09,10677,web,home,103.97,1,0,103.97,card,3,London,2287,1,True,872,0
ORD-100255,2025-12-19,10073,web,apparel,54.67,2,10,98.41,card,2,Wales,569,1,True,1360,0
